                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97206,                0.93872,                 1.5491,                 0.7165,                 0.5356,                0.59403,                0.28847,                 1.7736,                 1.6864,                 2.4026,              0.0086932,              0.0086932,              0.0086932
                     36,                0.99643,                0.94327,                 1.5678,                0.73105,                 0.5975,                0.63556,                 0.3255,                  1.699,                 1.5495,                 2.3148,              0.0086536,              0.0086536,              0.0086536
                     37,                0.97486,                0.92424,                 1.5451,                0.70426,                0.49845,                0.55061,                0.27184,                 1.7792,                 1.8005,                 2.4109,               0.008614,               0.008614,               0.008614
                     38,                0.95942,                0.91489,                 1.5357,                0.62379,                0.51393,                0.52419,                0.24382,                 1.9119,                 1.7766,                    2.6,              0.0085744,              0.0085744,              0.0085744
                     39,                0.95824,                0.91299,                 1.5355,                 0.7014,                0.54489,                0.57851,                0.28084,                 1.8374,                 1.6315,                 2.4356,              0.0085348,              0.0085348,              0.0085348
                     40,                0.95596,                0.91781,                 1.5255,                0.70823,                0.60372,                0.61231,                  0.301,                 1.7295,                 1.6047,                 2.3704,              0.0084952,              0.0084952,              0.0084952
                     41,                0.95527,                0.91468,                 1.5233,                0.70721,                0.63158,                0.63881,                0.30799,                  1.741,                 1.5542,                 2.4613,              0.0084556,              0.0084556,              0.0084556
                     42,                 0.9546,                0.91345,                 1.5171,                 0.7348,                0.65015,                0.68582,                0.33589,                  1.644,                 1.4716,                 2.2761,               0.008416,               0.008416,               0.008416
                     43,                0.93688,                0.89432,                 1.5079,                0.69581,                0.58779,                0.61559,                0.31693,                 1.6473,                 1.5894,                 2.3795,              0.0083764,              0.0083764,              0.0083764
                     44,                0.94316,                0.90871,                 1.5112,                0.68277,                0.59443,                0.61336,                 0.3044,                 1.7195,                  1.628,                 2.3284,              0.0083368,              0.0083368,              0.0083368
                     45,                0.94258,                0.89638,                  1.504,                0.69734,                0.57276,                  0.612,                0.31155,                 1.6302,                 1.6167,                 2.3302,              0.0082972,              0.0082972,              0.0082972
                     46,                0.92032,                0.86387,                 1.4871,                0.60947,                0.58946,                0.57742,                0.27424,                 1.6988,                 1.6813,                 2.3202,              0.0082576,              0.0082576,              0.0082576
                     47,                0.92793,                0.88193,                 1.4925,                0.72394,                0.62515,                0.66353,                0.33027,                 1.7045,                  1.456,                 2.3079,               0.008218,               0.008218,               0.008218
                     48,                0.90296,                0.84847,                 1.4717,                0.74373,                0.64692,                0.67403,                  0.324,                  1.683,                  1.499,                  2.376,              0.0081784,              0.0081784,              0.0081784
                     49,                0.91098,                0.86648,                 1.4771,                0.63286,                0.58204,                0.59731,                0.28186,                  1.795,                 1.7101,                 2.3825,              0.0081388,              0.0081388,              0.0081388
                     50,                0.90036,                0.84057,                  1.467,                  0.744,                0.63158,                0.66181,                0.30793,                 1.7823,                 1.5618,                 2.4124,              0.0080992,              0.0080992,              0.0080992
                     51,                0.87968,                0.83541,                 1.4434,                0.69251,                0.56347,                0.60283,                0.29501,                 1.6885,                 1.6127,                 2.3467,              0.0080596,              0.0080596,              0.0080596
                     52,                0.88095,                0.83953,                 1.4449,                 0.7517,                0.66254,                0.66891,                0.33432,                 1.6838,                  1.456,                 2.3539,                0.00802,                0.00802,                0.00802
                     53,                0.89438,                0.83515,                 1.4502,                0.73594,                0.69659,                0.70679,                0.37248,                 1.6654,                 1.4466,                 2.2563,              0.0079804,              0.0079804,              0.0079804
                     54,                0.88433,                0.81928,                 1.4434,                0.68529,                0.62229,                0.63829,                0.30844,                 1.7263,                 1.5619,                 2.3599,              0.0079408,              0.0079408,              0.0079408
                     55,                0.88618,                0.82227,                 1.4433,                0.74945,                0.65944,                 0.6955,                0.36063,                 1.6148,                 1.4386,                 2.2302,              0.0079012,              0.0079012,              0.0079012
                     56,                0.86951,                 0.8282,                 1.4248,                0.69392,                0.50536,                 0.5615,                0.27424,                 1.7104,                 1.6832,                 2.3045,              0.0078616,              0.0078616,              0.0078616
                     57,                0.85733,                0.80489,                 1.4262,                0.73334,                0.65635,                0.67093,                0.36952,                   1.55,                 1.4339,                 2.1831,               0.007822,               0.007822,               0.007822
                     58,                 0.8621,                0.80885,                 1.4256,                0.72738,                 0.6161,                0.64703,                0.33425,                 1.6673,                  1.545,                 2.3076,              0.0077824,              0.0077824,              0.0077824
                     59,                0.85893,                0.80219,                 1.4272,                0.72603,                 0.5661,                0.61335,                0.29287,                 1.8251,                 1.5882,                 2.4556,              0.0077428,              0.0077428,              0.0077428
                     60,                0.85145,                0.79066,                 1.4151,                  0.794,                0.67802,                0.70067,                0.37961,                 1.5778,                 1.3916,                 2.2234,              0.0077032,              0.0077032,              0.0077032
                     61,                0.85257,                0.79879,                  1.421,                0.68116,                 0.6161,                0.62719,                0.30891,                 1.7154,                 1.5404,                 2.3072,              0.0076636,              0.0076636,              0.0076636
                     62,                0.85558,                0.79695,                 1.4175,                 0.6845,                  0.613,                0.62445,                0.31391,                 1.7021,                 1.5344,                 2.2972,               0.007624,               0.007624,               0.007624
                     63,                0.84338,                0.79374,                 1.4089,                0.82981,                 0.6935,                0.72546,                0.36406,                 1.6032,                 1.3655,                 2.2816,              0.0075844,              0.0075844,              0.0075844
                     64,                0.85688,                0.81217,                 1.4151,                0.74482,                0.68676,                0.68392,                0.36237,                 1.6211,                 1.3474,                 2.2825,              0.0075448,              0.0075448,              0.0075448
                     65,                0.85067,                0.79001,                 1.4121,                0.73555,                0.63777,                0.65868,                0.32236,                  1.711,                 1.4913,                  2.267,              0.0075052,              0.0075052,              0.0075052
                     66,                0.83286,                0.78161,                 1.3996,                0.72162,                0.59752,                0.65816,                0.33048,                 1.6965,                 1.5376,                 2.2654,              0.0074656,              0.0074656,              0.0074656
                     67,                0.82943,                0.76684,                 1.3959,                0.78317,                0.70448,                0.71977,                   0.35,                 1.6744,                 1.3385,                 2.3189,               0.007426,               0.007426,               0.007426
                     68,                0.82243,                0.77031,                 1.3881,                0.74271,                0.64396,                0.67438,                0.34712,                 1.6564,                 1.3958,                 2.2767,              0.0073864,              0.0073864,              0.0073864
                     69,                0.82071,                0.76271,                 1.3801,                0.80455,                0.66254,                0.70896,                0.35548,                 1.6575,                 1.4262,                 2.2612,              0.0073468,              0.0073468,              0.0073468
                     70,                 0.8179,                0.76791,                 1.3822,                 0.7743,                0.54799,                0.63474,                0.33343,                 1.6603,                 1.5192,                 2.2454,              0.0073072,              0.0073072,              0.0073072
                     71,                0.82001,                0.76424,                 1.3884,                0.80666,                0.69659,                0.72274,                0.36571,                 1.6614,                 1.3108,                 2.2671,              0.0072676,              0.0072676,              0.0072676
                     72,                0.82244,                0.77853,                 1.3917,                0.72633,                0.66556,                0.67057,                0.32807,                 1.7518,                 1.4336,                 2.3538,               0.007228,               0.007228,               0.007228
                     73,                0.82002,                0.76035,                 1.3849,                0.77979,                0.68731,                0.71506,                0.37079,                 1.6065,                 1.3322,                 2.2207,              0.0071884,              0.0071884,              0.0071884
                     74,                0.80921,                0.74729,                  1.378,                0.72675,                0.66254,                0.69087,                 0.3684,                 1.5693,                 1.3756,                 2.1825,              0.0071488,              0.0071488,              0.0071488
                     75,                0.80814,                0.76233,                   1.37,                0.75603,                0.65635,                0.68501,                0.34267,                 1.6304,                 1.4669,                 2.3103,              0.0071092,              0.0071092,              0.0071092
                     76,                0.81018,                0.74932,                 1.3769,                0.77109,                0.68111,                0.70626,                0.39663,                 1.4965,                  1.369,                 2.1667,              0.0070696,              0.0070696,              0.0070696
                     77,                0.80217,                0.74746,                 1.3665,                0.73283,                0.62848,                0.64847,                0.32426,                 1.6335,                 1.4888,                 2.2483,                0.00703,                0.00703,                0.00703
                     78,                0.80798,                0.75445,                  1.374,                0.70384,                0.64087,                0.65203,                0.32044,                 1.7277,                 1.4443,                 2.3137,              0.0069904,              0.0069904,              0.0069904
                     79,                 0.8019,                0.73622,                 1.3652,                0.72965,                0.65175,                0.66545,                0.33627,                 1.6341,                 1.5029,                 2.2432,              0.0069508,              0.0069508,              0.0069508
                     80,                0.79999,                0.74176,                 1.3664,                0.74334,                0.62848,                0.65609,                0.33074,                 1.6436,                 1.5059,                 2.2422,              0.0069112,              0.0069112,              0.0069112
                     81,                0.79465,                0.74742,                 1.3691,                0.75381,                0.64706,                0.68087,                0.34343,                 1.6358,                 1.4626,                  2.273,              0.0068716,              0.0068716,              0.0068716
