                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79161,                0.93492,                 1.2815,                0.76972,                0.74805,                0.77971,                0.62073,                0.61036,                0.62318,                 1.1526,               0.008878,               0.008878,               0.008878
                     37,                0.77775,                0.90186,                 1.2627,                0.83883,                0.71169,                0.76698,                0.61837,                0.59367,                0.60623,                 1.1382,               0.008845,               0.008845,               0.008845
                     38,                0.77483,                0.89814,                 1.2649,                0.79025,                0.73193,                0.76943,                0.61907,                0.58413,                0.60325,                 1.1254,               0.008812,               0.008812,               0.008812
                     39,                0.77129,                 0.8838,                 1.2566,                0.84893,                0.68445,                0.75595,                0.61125,                0.59129,                0.58762,                 1.1334,               0.008779,               0.008779,               0.008779
                     40,                0.76226,                0.86919,                 1.2453,                0.80735,                0.68751,                0.75964,                0.61661,                0.58959,                0.61013,                 1.1267,               0.008746,               0.008746,               0.008746
                     41,                0.76357,                 0.8626,                 1.2513,                0.77516,                0.73103,                0.75866,                0.61518,                0.57323,                0.60051,                  1.124,               0.008713,               0.008713,               0.008713
                     42,                0.75654,                0.85617,                 1.2437,                0.79067,                0.71685,                0.76727,                0.63084,                0.56927,                0.57425,                 1.1155,                0.00868,                0.00868,                0.00868
                     43,                0.74799,                0.84516,                 1.2349,                 0.8511,                0.72561,                0.78321,                0.63969,                 0.5574,                0.55491,                 1.1078,               0.008647,               0.008647,               0.008647
                     44,                0.75099,                0.84707,                 1.2373,                0.80692,                0.74159,                 0.8074,                0.65538,                0.57031,                0.56483,                 1.1183,               0.008614,               0.008614,               0.008614
                     45,                0.74013,                0.83649,                 1.2313,                0.83168,                0.73098,                0.80384,                0.65145,                0.56281,                0.55208,                 1.1087,               0.008581,               0.008581,               0.008581
                     46,                0.73875,                 0.8259,                 1.2262,                0.82538,                0.74298,                0.84919,                0.69129,                0.55415,                0.54488,                 1.1009,               0.008548,               0.008548,               0.008548
                     47,                 0.7376,                0.82373,                 1.2213,                0.82967,                0.73476,                0.79537,                0.64722,                0.55614,                 0.5457,                 1.1041,               0.008515,               0.008515,               0.008515
                     48,                0.73246,                0.81757,                 1.2197,                0.91526,                0.69387,                  0.814,                0.66729,                0.54092,                0.52737,                 1.0915,               0.008482,               0.008482,               0.008482
                     49,                0.72497,                0.80768,                 1.2133,                0.83688,                0.74948,                0.82291,                0.67252,                 0.5453,                0.53367,                 1.0936,               0.008449,               0.008449,               0.008449
                     50,                0.72624,                0.80018,                 1.2156,                0.84778,                 0.7498,                0.79213,                 0.6522,                0.53852,                0.52961,                 1.0962,               0.008416,               0.008416,               0.008416
                     51,                0.72526,                0.79897,                  1.215,                0.85266,                0.73764,                0.80747,                0.66306,                0.53039,                0.52864,                 1.0823,               0.008383,               0.008383,               0.008383
                     52,                0.72428,                0.80024,                 1.2095,                0.85174,                0.73673,                0.80752,                0.67068,                0.53164,                 0.5305,                 1.0813,                0.00835,                0.00835,                0.00835
                     53,                0.71893,                0.78981,                 1.2099,                0.83891,                0.76203,                0.81127,                0.66421,                0.52379,                 0.5101,                 1.0795,               0.008317,               0.008317,               0.008317
                     54,                0.71963,                0.79208,                 1.2058,                0.84631,                0.73783,                0.79001,                0.65195,                0.53009,                0.51776,                 1.0875,               0.008284,               0.008284,               0.008284
                     55,                0.71222,                0.77391,                 1.2029,                0.87447,                0.73364,                0.79417,                0.65812,                0.52725,                0.51964,                 1.0811,               0.008251,               0.008251,               0.008251
                     56,                0.71169,                0.76834,                 1.2005,                0.83006,                0.75704,                0.79539,                0.65733,                0.51365,                0.50397,                 1.0717,               0.008218,               0.008218,               0.008218
                     57,                0.70361,                0.75698,                  1.193,                0.85145,                0.74425,                0.82509,                0.68555,                0.51688,                0.48194,                 1.0713,               0.008185,               0.008185,               0.008185
                     58,                0.70229,                0.74723,                 1.1893,                0.85455,                0.75675,                0.82716,                0.68624,                0.51347,                0.49347,                 1.0719,               0.008152,               0.008152,               0.008152
                     59,                0.69585,                0.75083,                 1.1897,                0.84931,                0.75189,                0.80708,                0.66667,                0.50867,                0.48356,                 1.0645,               0.008119,               0.008119,               0.008119
                     60,                0.69897,                0.75362,                 1.1892,                0.82274,                0.74704,                0.80707,                0.66691,                0.51083,                0.48781,                 1.0696,               0.008086,               0.008086,               0.008086
                     61,                0.68861,                0.74587,                 1.1792,                0.84021,                0.75812,                0.80134,                0.66242,                0.51023,                0.49019,                 1.0665,               0.008053,               0.008053,               0.008053
                     62,                0.68366,                0.74594,                  1.178,                0.87002,                0.74954,                 0.8198,                0.68176,                0.50342,                0.49117,                 1.0623,                0.00802,                0.00802,                0.00802
                     63,                0.68676,                0.72826,                 1.1788,                0.87171,                0.75452,                0.82468,                0.68559,                0.50585,                0.49073,                 1.0607,               0.007987,               0.007987,               0.007987
                     64,                0.68908,                0.73036,                 1.1801,                0.85978,                0.75503,                0.82534,                0.68217,                0.50676,                0.47925,                 1.0629,               0.007954,               0.007954,               0.007954
                     65,                0.67856,                0.72174,                 1.1718,                0.88802,                0.74733,                0.81834,                0.67195,                0.50594,                 0.4779,                 1.0617,               0.007921,               0.007921,               0.007921
                     66,                0.68266,                 0.7209,                 1.1763,                0.87704,                0.75192,                0.82422,                 0.6812,                0.50057,                0.47597,                 1.0595,               0.007888,               0.007888,               0.007888
                     67,                0.68583,                 0.7292,                 1.1723,                0.86155,                0.76149,                0.82466,                0.68739,                0.50606,                0.47357,                 1.0641,               0.007855,               0.007855,               0.007855
                     68,                0.67534,                0.72352,                 1.1698,                0.88447,                0.75253,                0.82442,                0.68814,                0.49788,                0.46167,                 1.0561,               0.007822,               0.007822,               0.007822
                     69,                  0.675,                0.71444,                 1.1689,                0.83854,                0.76928,                0.80686,                0.67078,                0.49246,                0.46792,                 1.0501,               0.007789,               0.007789,               0.007789
                     70,                0.67493,                0.71802,                 1.1657,                0.86946,                 0.7694,                0.81864,                0.68412,                0.49026,                 0.4546,                   1.05,               0.007756,               0.007756,               0.007756
                     71,                0.67275,                0.70662,                 1.1641,                0.87906,                0.75818,                0.82816,                0.68609,                 0.4841,                 0.4553,                 1.0449,               0.007723,               0.007723,               0.007723
                     72,                0.67087,                0.70284,                 1.1658,                0.90832,                0.76198,                0.82485,                0.68851,                0.47711,                0.44147,                 1.0389,                0.00769,                0.00769,                0.00769
                     73,                0.67455,                0.71145,                 1.1682,                0.88218,                0.77899,                0.84559,                0.70427,                0.47819,                0.44758,                  1.037,               0.007657,               0.007657,               0.007657
                     74,                0.66764,                0.68638,                 1.1598,                0.89405,                0.77016,                0.88267,                0.73222,                0.48047,                0.43994,                 1.0422,               0.007624,               0.007624,               0.007624
                     75,                 0.6597,                0.68587,                 1.1554,                0.88067,                0.77045,                0.87125,                0.72081,                0.47689,                0.43889,                 1.0379,               0.007591,               0.007591,               0.007591
                     76,                0.66599,                0.69889,                  1.161,                0.87502,                0.77294,                0.83156,                0.69386,                0.47471,                0.44634,                 1.0338,               0.007558,               0.007558,               0.007558
                     77,                0.66043,                0.68072,                 1.1522,                0.90765,                0.74485,                 0.8321,                0.69221,                0.47619,                0.43772,                 1.0381,               0.007525,               0.007525,               0.007525
                     78,                0.66029,                0.68014,                 1.1569,                0.87809,                0.78306,                0.85306,                0.71425,                0.46577,                0.43459,                 1.0286,               0.007492,               0.007492,               0.007492
                     79,                0.65163,                0.67293,                 1.1474,                0.86197,                0.79448,                0.87514,                0.74042,                0.46864,                0.43147,                 1.0297,               0.007459,               0.007459,               0.007459
                     80,                0.66265,                0.68424,                 1.1552,                0.88083,                0.77809,                0.88056,                0.74283,                0.46603,                0.43433,                 1.0279,               0.007426,               0.007426,               0.007426
                     81,                0.65595,                0.67393,                 1.1479,                 0.8946,                0.78459,                0.84806,                0.70551,                0.46924,                0.42988,                 1.0317,               0.007393,               0.007393,               0.007393
                     82,                0.64541,                0.66693,                  1.144,                0.91339,                0.76759,                 0.8541,                0.71531,                0.46385,                0.42802,                 1.0268,                0.00736,                0.00736,                0.00736
                     83,                0.63875,                0.64984,                 1.1377,                0.92075,                0.77515,                0.86122,                0.72514,                 0.4622,                0.41848,                 1.0267,               0.007327,               0.007327,               0.007327
                     84,                0.63966,                0.65791,                  1.138,                0.90756,                0.77106,                0.85386,                0.72087,                0.45979,                0.42556,                 1.0254,               0.007294,               0.007294,               0.007294
                     85,                0.64174,                0.65639,                 1.1391,                0.90131,                0.77412,                0.87469,                0.73965,                0.45736,                0.42593,                 1.0234,               0.007261,               0.007261,               0.007261
                     86,                0.64047,                 0.6475,                 1.1396,                0.89136,                0.77042,                0.88342,                0.74787,                0.45628,                0.42187,                  1.023,               0.007228,               0.007228,               0.007228
                     87,                0.63637,                0.65022,                 1.1357,                0.90131,                 0.7704,                0.88935,                0.74906,                0.45703,                0.41351,                 1.0229,               0.007195,               0.007195,               0.007195
                     88,                0.63708,                0.64925,                 1.1321,                0.91583,                0.76492,                0.89006,                0.74812,                0.45905,                0.40955,                 1.0244,               0.007162,               0.007162,               0.007162
                     89,                0.63549,                0.64339,                 1.1324,                0.89216,                0.78103,                0.86921,                0.73302,                0.45798,                0.40948,                  1.024,               0.007129,               0.007129,               0.007129
                     90,                0.63261,                0.65195,                 1.1307,                0.90715,                0.78053,                0.86986,                0.73412,                0.45584,                0.40767,                 1.0217,               0.007096,               0.007096,               0.007096
                     91,                0.63373,                0.64168,                 1.1297,                0.89836,                0.77395,                 0.8758,                0.74073,                0.45665,                0.40377,                 1.0215,               0.007063,               0.007063,               0.007063
                     92,                0.62474,                0.63125,                 1.1241,                0.90209,                0.78051,                0.88021,                0.73645,                0.45503,                0.40618,                   1.02,                0.00703,                0.00703,                0.00703
                     93,                0.62762,                0.63734,                 1.1295,                0.89789,                0.78526,                0.87771,                 0.7404,                0.45295,                0.41225,                 1.0186,               0.006997,               0.006997,               0.006997
                     94,                0.62866,                0.63057,                 1.1241,                 0.9165,                  0.772,                 0.8771,                0.73683,                0.45215,                0.40965,                 1.0173,               0.006964,               0.006964,               0.006964
                     95,                0.62855,                0.62911,                 1.1222,                0.88476,                0.77338,                0.88991,                0.74932,                 0.4481,                0.40919,                 1.0135,               0.006931,               0.006931,               0.006931
                     96,                0.63074,                 0.6317,                 1.1253,                0.89767,                0.77671,                0.88672,                0.75233,                0.44574,                0.39996,                 1.0101,               0.006898,               0.006898,               0.006898
                     97,                0.62134,                0.62009,                 1.1218,                0.87811,                0.80525,                0.90476,                 0.7699,                0.44453,                0.39636,                 1.0078,               0.006865,               0.006865,               0.006865
                     98,                0.62827,                0.62501,                 1.1241,                0.89847,                  0.793,                0.90425,                0.76542,                0.44752,                0.39606,                 1.0125,               0.006832,               0.006832,               0.006832
                     99,                0.62437,                0.62338,                 1.1196,                0.88487,                0.79853,                0.91041,                0.76813,                0.44463,                0.39604,                 1.0103,               0.006799,               0.006799,               0.006799
                    100,                0.62253,                0.62655,                 1.1233,                0.87274,                0.81416,                0.90842,                  0.767,                0.44541,                0.39527,                  1.012,               0.006766,               0.006766,               0.006766
                    101,                 0.6216,                0.61893,                 1.1213,                0.88847,                0.79795,                0.89783,                0.75553,                 0.4433,                 0.3966,                 1.0116,               0.006733,               0.006733,               0.006733
                    102,                0.61212,                0.60934,                  1.112,                0.91098,                0.79462,                0.90981,                0.76385,                0.43906,                0.39553,                 1.0105,                 0.0067,                 0.0067,                 0.0067
                    103,                0.61494,                0.60564,                 1.1143,                0.90889,                0.79987,                 0.9109,                 0.7659,                0.44146,                0.39023,                 1.0125,               0.006667,               0.006667,               0.006667
                    104,                0.61431,                0.60423,                 1.1121,                0.90812,                0.79752,                0.91306,                0.77317,                0.43888,                0.39065,                 1.0091,               0.006634,               0.006634,               0.006634
                    105,                0.61075,                 0.5999,                  1.111,                0.89095,                0.80391,                0.90974,                 0.7794,                0.43859,                 0.3895,                 1.0093,               0.006601,               0.006601,               0.006601
                    106,                  0.621,                0.61976,                 1.1212,                0.89434,                0.79771,                0.90845,                0.77608,                 0.4384,                0.38947,                 1.0091,               0.006568,               0.006568,               0.006568
                    107,                 0.6155,                0.60492,                 1.1127,                0.89942,                0.80642,                0.91253,                0.78217,                0.43845,                0.38298,                 1.0083,               0.006535,               0.006535,               0.006535
                    108,                0.61637,                0.60896,                 1.1159,                0.88915,                0.79413,                0.91099,                 0.7763,                0.43864,                0.38268,                  1.008,               0.006502,               0.006502,               0.006502
                    109,                0.60619,                0.60391,                  1.108,                0.90549,                0.78786,                0.91221,                0.77251,                0.43614,                 0.3849,                 1.0053,               0.006469,               0.006469,               0.006469
                    110,                0.60245,                0.58982,                 1.1055,                0.89664,                0.80395,                0.91551,                0.77575,                0.43566,                0.38356,                 1.0044,               0.006436,               0.006436,               0.006436
                    111,                0.60933,                0.60136,                 1.1127,                0.90039,                0.79937,                 0.9157,                0.78296,                0.43221,                0.38349,                 1.0035,               0.006403,               0.006403,               0.006403
                    112,                0.60974,                0.58584,                 1.1107,                0.92238,                 0.7857,                0.91128,                0.77901,                0.42991,                0.38282,                 1.0011,                0.00637,                0.00637,                0.00637
