                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2824,                 2.3613,                 1.4282,                0.37827,                 0.2931,                0.25121,                0.08906,                 2.3257,                 2.3516,                 1.4782,               0.008911,               0.008911,               0.008911
                     36,                 2.2971,                 2.3552,                 1.4474,                0.37911,                0.28325,                0.24278,                0.09375,                 2.3018,                 2.3427,                 1.4721,               0.008878,               0.008878,               0.008878
                     37,                 2.2517,                  2.255,                 1.3981,                0.37849,                0.27094,                0.23277,                   0.09,                 2.3323,                 2.2938,                 1.4683,               0.008845,               0.008845,               0.008845
                     38,                 2.2809,                 2.3198,                 1.4023,                 0.4301,                0.30542,                0.28004,                0.10034,                 2.3131,                 2.3646,                  1.467,               0.008812,               0.008812,               0.008812
                     39,                 2.2498,                 2.3138,                 1.4025,                 0.3253,                0.31281,                0.24753,                0.09113,                 2.3403,                 2.2972,                  1.484,               0.008779,               0.008779,               0.008779
                     40,                 2.2274,                 2.2486,                 1.3808,                0.32045,                0.27586,                0.21041,                0.07616,                 2.3047,                 2.3641,                 1.4832,               0.008746,               0.008746,               0.008746
                     41,                 2.2349,                 2.2984,                 1.3887,                0.44539,                0.28818,                0.25733,                0.09977,                 2.2592,                 2.2988,                 1.4549,               0.008713,               0.008713,               0.008713
                     42,                 2.2548,                 2.2742,                 1.3979,                0.33847,                0.29994,                0.22775,                0.08277,                 2.3441,                 2.4145,                 1.5166,                0.00868,                0.00868,                0.00868
                     43,                 2.2234,                 2.2212,                 1.3757,                0.38265,                0.27094,                0.22192,                0.08572,                  2.267,                 2.4186,                 1.4591,               0.008647,               0.008647,               0.008647
                     44,                 2.2121,                 2.2116,                 1.3846,                0.39593,                 0.2931,                0.24608,                 0.0911,                 2.2782,                 2.2985,                   1.48,               0.008614,               0.008614,               0.008614
                     45,                 2.1979,                 2.2482,                 1.3841,                0.33212,                0.31281,                  0.236,                0.09103,                  2.316,                 2.2644,                 1.4877,               0.008581,               0.008581,               0.008581
                     46,                 2.1989,                 2.2014,                  1.377,                0.40352,                0.28325,                0.24629,                0.09027,                 2.3097,                 2.2892,                 1.4848,               0.008548,               0.008548,               0.008548
                     47,                 2.2069,                 2.1862,                 1.3701,                0.39006,                0.31527,                0.26283,                0.09676,                 2.3197,                 2.2612,                 1.4888,               0.008515,               0.008515,               0.008515
                     48,                 2.1717,                  2.198,                 1.3589,                 0.3962,                0.26021,                0.23886,                0.08919,                 2.3316,                 2.3269,                 1.5181,               0.008482,               0.008482,               0.008482
                     49,                 2.1883,                 2.1766,                 1.3698,                0.41224,                0.27833,                0.24163,                0.09577,                 2.3985,                 2.3565,                 1.5102,               0.008449,               0.008449,               0.008449
                     50,                 2.1418,                 2.1351,                 1.3389,                0.40604,                0.27094,                0.24242,                0.09613,                 2.3343,                 2.3164,                 1.4833,               0.008416,               0.008416,               0.008416
                     51,                 2.1732,                  2.194,                 1.3727,                0.36685,                0.28079,                0.25378,                0.09808,                 2.3276,                 2.2772,                 1.5022,               0.008383,               0.008383,               0.008383
                     52,                 2.1504,                 2.0463,                 1.3585,                 0.4178,                0.29064,                0.24282,                0.09342,                 2.3046,                 2.2739,                 1.4764,                0.00835,                0.00835,                0.00835
                     53,                 2.1113,                 2.0865,                 1.3344,                0.33169,                 0.2734,                0.21747,                0.08846,                 2.2933,                 2.3924,                 1.4799,               0.008317,               0.008317,               0.008317
                     54,                   2.15,                 2.1203,                 1.3622,                0.41637,                0.27586,                0.25216,                 0.0925,                 2.2848,                 2.2986,                 1.4858,               0.008284,               0.008284,               0.008284
