                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0346,                0.81158,                 1.4238,                0.46872,                0.36592,                 0.4304,                0.25575,                 1.4007,                 1.3751,                 1.7308,               0.008878,               0.008878,               0.008878
                     37,                 1.0337,                0.80559,                 1.4272,                0.47284,                0.40434,                0.42617,                0.24497,                 1.3564,                 1.4152,                 1.7211,               0.008845,               0.008845,               0.008845
                     38,                 1.0393,                0.80758,                 1.4238,                0.45102,                0.38021,                0.37753,                0.21795,                 1.3808,                 1.4594,                 1.7466,               0.008812,               0.008812,               0.008812
                     39,                 1.0216,                0.79534,                 1.4109,                0.39668,                0.39962,                0.41332,                0.22839,                 1.3621,                 1.5606,                 1.7216,               0.008779,               0.008779,               0.008779
                     40,                 1.0252,                0.78807,                 1.4126,                0.39117,                0.41127,                0.39125,                0.22588,                 1.4261,                 1.4544,                 1.7583,               0.008746,               0.008746,               0.008746
                     41,                 1.0121,                 0.7691,                 1.4007,                0.33172,                  0.397,                0.37627,                 0.2211,                 1.3973,                 1.3807,                  1.752,               0.008713,               0.008713,               0.008713
                     42,                 1.0041,                0.76681,                 1.3901,                0.38873,                0.50469,                0.42969,                0.24682,                 1.4125,                 1.2822,                 1.7683,                0.00868,                0.00868,                0.00868
                     43,                 1.0058,                0.76338,                 1.3934,                0.39847,                0.44007,                 0.4191,                0.24407,                 1.3943,                 1.4698,                 1.7518,               0.008647,               0.008647,               0.008647
                     44,                 1.0067,                 0.7614,                 1.3934,                0.40923,                0.40746,                0.39368,                0.23948,                  1.359,                 1.5147,                 1.7216,               0.008614,               0.008614,               0.008614
                     45,                0.99386,                0.73779,                 1.3744,                0.35677,                0.45723,                0.41462,                0.25134,                 1.3643,                 1.3149,                 1.6783,               0.008581,               0.008581,               0.008581
                     46,                0.99581,                0.74787,                 1.3759,                0.33891,                 0.4515,                0.40001,                0.23512,                 1.3756,                 1.3082,                   1.73,               0.008548,               0.008548,               0.008548
                     47,                0.98545,                0.74588,                 1.3737,                0.41716,                0.34737,                0.36644,                 0.2249,                 1.4393,                 1.6442,                 1.7634,               0.008515,               0.008515,               0.008515
                     48,                 0.9862,                0.73852,                 1.3731,                0.40165,                0.45044,                0.40337,                0.22568,                 1.4515,                 1.4934,                 1.7434,               0.008482,               0.008482,               0.008482
                     49,                  0.977,                 0.7233,                 1.3642,                0.43762,                0.45384,                0.42997,                0.24179,                 1.3857,                 1.3023,                 1.7095,               0.008449,               0.008449,               0.008449
                     50,                0.97885,                0.72788,                  1.365,                0.37896,                0.43192,                0.42716,                0.24742,                 1.3906,                  1.403,                 1.7291,               0.008416,               0.008416,               0.008416
                     51,                0.97946,                0.72755,                 1.3672,                  0.396,                 0.3998,                0.41222,                0.23277,                 1.4178,                 1.4294,                 1.7739,               0.008383,               0.008383,               0.008383
                     52,                0.96297,                0.70787,                 1.3548,                0.38922,                0.32547,                0.34523,                0.21474,                 1.3393,                 1.3602,                 1.6893,                0.00835,                0.00835,                0.00835
                     53,                0.95619,                0.70014,                 1.3431,                0.34268,                0.39082,                0.38393,                0.22933,                 1.3766,                 1.4289,                 1.6931,               0.008317,               0.008317,               0.008317
                     54,                0.97112,                0.71061,                 1.3555,                0.40993,                0.34059,                0.39567,                0.22311,                 1.3851,                 1.5317,                 1.7357,               0.008284,               0.008284,               0.008284
                     55,                0.96499,                0.71045,                 1.3479,                0.33372,                0.42679,                0.39129,                0.24626,                 1.3219,                 1.2628,                 1.6594,               0.008251,               0.008251,               0.008251
                     56,                0.95547,                0.69386,                 1.3399,                0.35328,                 0.4237,                0.40149,                0.24349,                 1.3637,                 1.3405,                 1.7022,               0.008218,               0.008218,               0.008218
                     57,                0.95922,                0.70266,                 1.3443,                 0.4012,                0.44192,                0.42915,                0.25955,                 1.3847,                 1.3147,                 1.6762,               0.008185,               0.008185,               0.008185
                     58,                0.95361,                 0.6841,                 1.3373,                0.37944,                0.48935,                0.39528,                0.23232,                 1.3486,                 1.3489,                 1.6705,               0.008152,               0.008152,               0.008152
                     59,                0.95551,                 0.6856,                 1.3374,                0.34865,                0.43243,                0.40625,                0.25321,                 1.3934,                 1.3164,                 1.6753,               0.008119,               0.008119,               0.008119
                     60,                0.94667,                0.68297,                 1.3317,                0.44556,                0.42353,                0.42741,                0.26401,                 1.3595,                  1.245,                 1.6757,               0.008086,               0.008086,               0.008086
                     61,                0.94149,                0.68043,                 1.3206,                 0.4222,                0.50221,                0.41747,                0.24654,                 1.3665,                 1.4367,                 1.6927,               0.008053,               0.008053,               0.008053
                     62,                0.95443,                0.68372,                 1.3329,                0.35636,                 0.4123,                0.40218,                0.24273,                 1.3335,                 1.3692,                 1.6846,                0.00802,                0.00802,                0.00802
                     63,                 0.9375,                0.67629,                 1.3207,                0.38064,                0.43166,                0.41311,                 0.2512,                 1.3584,                  1.428,                 1.6692,               0.007987,               0.007987,               0.007987
                     64,                 0.9341,                0.66859,                 1.3183,                0.36293,                0.42195,                0.40136,                0.24408,                 1.3346,                  1.383,                 1.6666,               0.007954,               0.007954,               0.007954
                     65,                0.94651,                0.67983,                 1.3289,                0.40549,                0.44776,                 0.4139,                0.25021,                 1.3815,                 1.4317,                 1.7285,               0.007921,               0.007921,               0.007921
                     66,                0.92351,                0.66085,                 1.3059,                0.35766,                0.49204,                0.43931,                0.25821,                 1.4095,                 1.3956,                  1.716,               0.007888,               0.007888,               0.007888
                     67,                 0.9295,                0.65605,                 1.3148,                0.32768,                0.49687,                0.41153,                0.23808,                 1.3929,                 1.3896,                 1.7125,               0.007855,               0.007855,               0.007855
                     68,                0.92544,                0.64963,                 1.3051,                 0.3493,                0.48213,                0.37419,                0.20651,                 1.4723,                 1.4855,                  1.788,               0.007822,               0.007822,               0.007822
                     69,                0.92869,                0.65711,                 1.3084,                0.39162,                 0.4554,                 0.4133,                0.24593,                 1.3925,                 1.4041,                 1.7104,               0.007789,               0.007789,               0.007789
                     70,                0.91759,                0.64695,                 1.2974,                0.37813,                0.47726,                0.41553,                0.25263,                  1.387,                 1.3228,                 1.7061,               0.007756,               0.007756,               0.007756
                     71,                0.91574,                0.64555,                 1.2963,                0.43069,                0.49946,                0.45542,                0.26851,                 1.3836,                 1.2658,                 1.7091,               0.007723,               0.007723,               0.007723
                     72,                0.90641,                0.63789,                 1.2901,                 0.4086,                0.39119,                0.42242,                0.25287,                 1.3725,                 1.4667,                  1.699,                0.00769,                0.00769,                0.00769
                     73,                0.91844,                0.64404,                 1.2932,                 0.3639,                0.46969,                0.41634,                0.24134,                 1.4152,                 1.5983,                 1.7259,               0.007657,               0.007657,               0.007657
                     74,                0.90581,                0.63901,                  1.285,                0.41256,                0.40967,                0.39917,                0.21921,                 1.4632,                 1.4545,                 1.7511,               0.007624,               0.007624,               0.007624
                     75,                0.91316,                0.63775,                 1.2884,                0.38848,                0.44554,                0.40057,                  0.236,                 1.3875,                 1.3982,                 1.6781,               0.007591,               0.007591,               0.007591
                     76,                0.90978,                0.63143,                 1.2908,                 0.4163,                0.42249,                0.39536,                0.23547,                 1.4114,                 1.3861,                 1.7009,               0.007558,               0.007558,               0.007558
                     77,                0.90597,                0.63205,                   1.28,                0.37877,                0.48625,                0.40457,                0.24541,                 1.3719,                 1.4268,                 1.6689,               0.007525,               0.007525,               0.007525
                     78,                 0.9115,                  0.625,                 1.2848,                0.40642,                0.44991,                0.40706,                0.25251,                 1.3506,                  1.432,                 1.6446,               0.007492,               0.007492,               0.007492
                     79,                0.89697,                0.62066,                 1.2735,                0.42264,                0.46578,                 0.4352,                0.25482,                 1.4091,                 1.3809,                 1.6994,               0.007459,               0.007459,               0.007459
                     80,                0.89715,                0.61001,                 1.2773,                 0.3953,                0.42901,                0.40913,                0.25485,                 1.3984,                  1.461,                 1.6951,               0.007426,               0.007426,               0.007426
                     81,                0.90506,                0.62058,                  1.277,                0.44542,                0.40774,                0.43403,                0.26803,                 1.3927,                 1.3851,                 1.6859,               0.007393,               0.007393,               0.007393
                     82,                0.89906,                0.61474,                 1.2711,                0.43849,                0.44435,                0.42621,                0.26273,                 1.4272,                 1.3617,                 1.6955,                0.00736,                0.00736,                0.00736
                     83,                0.89399,                0.62018,                 1.2717,                0.42598,                0.44221,                0.42485,                0.25021,                 1.4052,                 1.3028,                 1.6897,               0.007327,               0.007327,               0.007327
                     84,                0.89523,                0.61249,                 1.2726,                0.43591,                0.44484,                 0.4371,                0.25881,                 1.4062,                 1.2802,                 1.6905,               0.007294,               0.007294,               0.007294
                     85,                0.88696,                0.61184,                 1.2634,                0.43641,                0.47844,                0.44369,                0.25923,                 1.4229,                  1.361,                 1.6895,               0.007261,               0.007261,               0.007261
                     86,                0.88162,                0.59448,                 1.2596,                0.41891,                  0.464,                0.43944,                0.25303,                 1.3799,                 1.2719,                 1.6608,               0.007228,               0.007228,               0.007228
                     87,                0.87808,                  0.606,                 1.2546,                0.37927,                0.48779,                0.40877,                0.24183,                 1.3877,                 1.3537,                 1.6665,               0.007195,               0.007195,               0.007195
                     88,                0.89188,                0.60662,                 1.2661,                0.35874,                0.47629,                0.39055,                0.22306,                 1.4212,                 1.3299,                 1.7076,               0.007162,               0.007162,               0.007162
                     89,                0.87404,                  0.593,                 1.2558,                0.38412,                0.48626,                0.41168,                0.24055,                 1.4361,                 1.3749,                 1.7341,               0.007129,               0.007129,               0.007129
                     90,                0.88138,                0.59777,                 1.2578,                0.34094,                0.47783,                0.40049,                0.23275,                 1.4186,                 1.4335,                 1.7083,               0.007096,               0.007096,               0.007096
                     91,                0.87674,                0.59624,                 1.2586,                0.35491,                0.45548,                0.40095,                0.24175,                 1.3878,                 1.4733,                 1.6965,               0.007063,               0.007063,               0.007063
                     92,                0.87267,                0.58489,                 1.2523,                0.34299,                0.46016,                0.39911,                0.23775,                 1.3926,                 1.4363,                 1.6893,                0.00703,                0.00703,                0.00703
                     93,                0.87227,                 0.5895,                 1.2495,                0.39396,                0.46172,                0.43042,                0.25257,                   1.37,                 1.3867,                 1.6689,               0.006997,               0.006997,               0.006997
